kode_baru,klasifikasi,kode_lama,nama_baru_singkat,nama_lama_singkat,kbli_2020,kbli_2017
AL001,Arsitektur,PR104,Jasa Pengembangan Pemanfaatan Ruang,Jasa Pengemba ngan Pemanfaat an Ruang,71101,71101
AL001,Arsitektur,PR201,Jasa Pengembangan Pemanfaatan Ruang,Jasa Pengawas dan Pengendali Penataan Ruang,71101,71101
AL002,Arsitektur,PR102,Jasa Pengembangan Wilayah,Jasa Perencanaan Wilayah,71101,71101
AL003,Arsitektur,PR101,Jasa Pengembangan Perkotaan,Jasa Perencanaan dan Perancanga n Perkotaan,71101,71101
AL004,Arsitektur,PR103,Jasa Pengembangan Lingkungan Bangunan dan Lanskap,Jasa Perencana an dan Perancang an Lingkunga n Bangunan dan Lansekap,71101,71101
AR001,Arsitektur,AR101,Jasa Arsitektural Bangunan Gedung Hunian dan Non Hunian,Jasa Nasihat dan Pra Desain Arsitektural,71101,71102
AR001,Arsitektur,AR102,Jasa Arsitektural Bangunan Gedung Hunian dan Non Hunian,Jasa Desain Arsitektural,71101,71101
AR001,Arsitektur,AR103,Jasa Arsitektural Bangunan Gedung Hunian dan Non Hunian,Jasa Penilai Perawatan dan Kelayakan Bangunan Gedung,71101,71101
AR001,Arsitektur,AR104,Jasa Arsitektural Bangunan Gedung Hunian dan Non Hunian,Jasa Desain Interior,71101,74100
AR001,Arsitektur,AR201,Jasa Arsitektural Bangunan Gedung Hunian dan Non Hunian,Jasa Pengawas Administrasi Kontrak,71101,71102
AR002,Arsitektur,AR101,Jasa Arsitektural Lainnya,Jasa Nasihat dan Pra Desain Arsitektural,71101,71102
AR002,Arsitektur,AR102,Jasa Arsitektural Lainnya,Jasa Desain Arsitektural,71101,71101
AR002,Arsitektur,AR103,Jasa Arsitektural Lainnya,Jasa Penilai Perawatan dan Kelayakan Bangunan Gedung,71101,71101
AR002,Arsitektur,AR104,Jasa Arsitektural Lainnya,Jasa Desain Interior,71101,74100
AR002,Arsitektur,AR201,Jasa Arsitektural Lainnya,Jasa Pengawas Administrasi Kontrak,71101,71102
AR003,Arsitektur,AR101,Jasa desain interior pada bangunan gedung dan bangunan sipil,Jasa Nasihat dan Pra Desain Arsitektural,74120,71102
AR003,Arsitektur,AR102,Jasa desain interior pada bangunan gedung dan bangunan sipil,Jasa Desain Arsitektural,74120,71101
AR003,Arsitektur,AR103,Jasa desain interior pada bangunan gedung dan bangunan sipil,Jasa Penilai Perawatan dan Kelayakan Bangunan Gedung,74120,71101
AR003,Arsitektur,AR104,Jasa desain interior pada bangunan gedung dan bangunan sipil,Jasa Desain Interior,74120,74100
AR003,Arsitektur,AR201,Jasa desain interior pada bangunan gedung dan bangunan sipil,Jasa Pengawas Administrasi Kontrak,74120,71102
AT002,Arsitektur,SP305,Jasa Pengujian dan Analisis Teknis Komposisi dan Tingkat Kemurnian,Jasa Pengujian dan Analisa Komposisi dan Tingkat Kemurnian,71102,71202
AT004,Arsitektur,SP306,Jasa Pengujian dan Analisis Teknis Parameter Fisikal,Jasa Pengujian dan Analisa Parameter Fisikal,71202,71102
AT007,Arsitektur,SP307,Jasa Commissioning Proses Industrial,Jasa Pengujian dan Analisa Sistem Mekanikal dan Elektrikal,71206,71202
IT001,Konsultansi Ilmiah dan Teknis,SP301,Jasa Pembuatan Prospektus Geologi dan Geofisika,Jasa Pembuatan Prospektus Geologi dan Geofisika,71102,71102
IT002,Konsultansi Ilmiah dan Teknis,SP302,Jasa Konsultansi Ilmiah dan Teknis Bawah Tanah,Jasa Survey Bawah Tanah,71102,71102
IT003,Konsultansi Ilmiah dan Teknis,SP303,Jasa Konsultansi Ilmiah dan Teknis Permukaan Tanah dan Pembuatan Peta,Jasa Survey Permukaan Tanah,71102,71102
